rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward
22.96,0.0,1.08,520,150,15337,101,,
22.67,0.0,1.05,524,152,15424,101,,
22.86,0.0,1.07,528,153,15519,100,,
23.03,0.0,1.06,532,155,15614,100,,
22.96,0.0,1.06,536,156,15702,100,,
23.35,0.0,1.1,540,157,15803,100,,
23.27,0.0,1.1,544,158,15890,100,,
23.51,0.0,1.13,548,159,15996,100,,
23.29,0.0,1.14,552,159,16066,100,,
23.99,0.0,1.19,556,161,16227,100,,
24.43,0.0,1.27,560,163,16424,100,,
25.29,0.0,1.36,564,164,16575,100,,
26.14,0.0,1.46,568,165,16749,100,,
27.02,0.0,1.53,572,167,16913,100,,
27.62,0.0,1.59,576,168,17021,100,,
27.62,0.0,1.59,580,170,17115,100,,
28.07,0.0,1.64,584,171,17236,100,,
28.31,0.0,1.66,588,172,17325,100,,
28.93,0.0,1.72,592,173,17459,100,,
28.83,0.0,1.72,596,174,17545,100,,
27.78,0.0,1.63,600,175,17622,100,,
27.37,0.0,1.59,604,176,17693,100,,
27.57,0.0,1.59,608,177,17787,100,,
28.24,0.0,1.62,612,178,17962,100,,
29.81,0.0,1.77,616,180,18186,100,,
29.52,0.0,1.8,620,181,18289,100,,
29.79,0.0,1.81,624,182,18403,100,,
30.21,0.0,1.88,628,183,18540,100,,
30.27,0.0,1.91,632,185,18641,100,,
30.29,0.0,1.9,636,186,18731,100,,
30.27,0.0,1.9,640,187,18830,100,,
30.13,0.0,1.88,644,188,18903,100,,
30.13,0.0,1.89,648,189,19009,100,,
31.15,0.0,1.95,652,190,19181,100,,
30.8,0.0,1.95,656,191,19307,100,,
30.82,0.0,1.95,660,193,19506,100,,
30.41,0.0,1.89,664,194,19616,100,,
29.68,0.0,1.81,668,195,19717,100,,
29.19,0.0,1.83,672,196,19832,100,,
28.85,0.0,1.81,676,197,19906,100,,
29.82,0.0,1.91,680,199,20097,100,,
29.72,0.0,1.92,684,201,20208,100,,
30.24,0.0,1.97,688,202,20349,100,,
30.39,0.0,1.98,692,204,20498,100,,
30.36,0.0,1.97,696,204,20581,100,,
30.41,0.0,1.95,700,205,20663,100,,
30.96,0.0,2.05,704,206,20789,100,,
31.29,0.0,2.13,708,207,20916,100,,
30.32,0.0,2.07,712,208,20994,100,,
29.48,0.0,1.95,716,209,21134,100,,
29.79,0.0,1.94,720,210,21268,100,,
29.55,0.0,1.93,724,211,21358,101,,
29.1,0.0,1.85,728,212,21450,101,,
29.08,0.0,1.83,732,213,21549,101,,
28.99,0.0,1.82,736,214,21630,100,,
28.97,0.0,1.82,740,215,21727,100,,
30.32,0.0,1.96,744,217,21935,100,,
30.05,0.0,1.92,748,218,22014,100,,
29.73,0.0,1.88,752,219,22154,100,,
29.84,0.0,1.85,756,221,22291,100,,
30.06,0.0,1.86,760,223,22512,100,,
30.76,0.0,1.92,764,224,22692,100,,
30.65,0.0,1.92,768,225,22782,100,,
30.62,0.0,1.89,772,226,22894,101,,
31.03,0.0,1.9,776,227,23009,101,,
30.1,0.0,1.78,780,228,23107,101,,
30.1,0.0,1.74,784,230,23218,100,,
