time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
520,108,0.0,238,25922,52.59,2.93,,
524,108,0.0,239,26101,51.03,2.87,,
528,108,0.0,241,26308,51.68,2.88,,
532,108,0.0,242,26432,49.59,2.75,,
536,108,0.0,244,26592,49.59,2.74,,
540,108,0.0,246,26824,49.93,2.72,,
544,108,0.0,248,26986,49.51,2.69,,
548,108,0.0,250,27221,50.64,2.73,,
552,108,0.0,252,27409,50.74,2.77,,
556,108,0.0,254,27669,52.01,2.85,,
560,108,0.0,256,27910,52.24,2.88,,
564,109,0.0,258,28179,53.23,2.93,,
568,109,0.0,259,28332,52.49,2.85,,
572,108,0.0,262,28615,53.09,2.9,,
576,108,0.0,264,28786,53.38,2.87,,
580,108,0.0,266,29005,52.86,2.81,,
584,108,0.0,268,29229,52.15,2.74,,
588,108,0.0,269,29410,51.4,2.67,,
592,109,0.0,272,29684,52.23,2.75,,
596,109,0.0,274,29958,53.07,2.75,,
600,108,0.0,277,30175,54.18,2.81,,
604,108,0.0,279,30345,52.55,2.72,,
608,108,0.0,281,30541,53.26,2.78,,
612,108,0.0,283,30796,53.04,2.75,,
616,108,0.0,286,31211,54.62,2.84,,
620,108,0.0,289,31584,56.62,2.99,,
624,108,0.0,292,31796,56.95,2.99,,
628,108,0.0,294,31989,56.81,2.98,,
632,108,0.0,296,32172,57.4,3.01,,
636,108,0.0,298,32391,57.99,3.04,,
640,108,0.0,299,32538,57.14,2.99,,
644,108,0.0,300,32681,56.95,2.97,,
648,108,0.0,302,32979,57.58,3.02,,
652,108,0.0,304,33149,57.4,2.96,,
656,108,0.0,306,33343,56.74,2.96,,
660,108,0.0,309,33634,57.24,2.96,,
664,108,0.0,310,33779,56.0,2.88,,
668,108,0.0,312,34005,56.73,2.93,,
672,108,0.0,316,34405,57.9,2.91,,
676,108,0.0,317,34600,58.14,2.94,,
680,109,0.0,319,34869,58.64,2.93,,
684,108,0.0,321,35020,57.91,2.89,,
688,108,0.0,325,35347,59.37,3.01,,
692,108,0.0,326,35489,58.05,2.9,,
696,108,0.0,327,35691,57.33,2.88,,
